Id,Review,Sentiment
0,good interesting,3
1,class helpful currently still learning class make lot basic music knowledge,3
2,like prof ta helpful discussion among student quite active rewarding learning experience,3
3,easy follow includes lot basic important technique use sketchup,3
4,really nice teacher could got point eazliy,3
5,great course recommend especially business manager,3
6,one useful course management,3
7,disappointed name misleading course provides good introduction overview responsibility cto little specifically digital content deal two speed single short lecture course treatment superficial easy find depth material freely available mckinsey website example,2
8,super content definitely course,3
9,one excellent course coursera information technology boss manager,3
10,reason apply_NEG course_NEG bcg_NEG content_NEG pretty_NEG unique_NEG includes_NEG high_NEG level_NEG analysis_NEG wide_NEG range_NEG knowledge_NEG needed_NEG cover_NEG detailed_NEG aspects_NEG best_NEG regards_NEG oleg_NEG serov_NEG,3
11,excellent course teacher congratulation,3
12,good course cio non technical company,3
13,good content course setting least allow_NEG learn_NEG content_NEG long_NEG term_NEG due_NEG missing_NEG reading_NEG material_NEG,2
14,structured approach thank sharing,3
15,program demystifies evolving world cio typical global corporation coverage introductory familiarizes participant nicely nuance emerging trend took course participant number fewer feedback quite delayed one plan patient get peer review based peer review sensed much variation expectation section french subtitle subtitle quality requires audit review,3
16,relevant useful course designed cio,3
17,course say_NEG anything_NEG digitization_NEG core_NEG subject_NEG digital_NEG wave_NEG,1
18,video presented french could translated english,3
19,course content quite good though could deeper area peer review system working_NEG well_NEG regards_NEG le_NEG,2
20,great piece work especially liked lifehacks cio,3
21,excellent course rewarding term used tool given excellent today put use job thank inculcating knowledge move,3
22,excellent ... representation day day thanks sharing vision experience advice regardsdaniel dama,3
23,interesting well designed mooc,3
24,excellent course totally recommended,3
25,great course information content interesting unfortunately peer graded assignment classmate must grade although two classmate gave passing grade one classmate gave really_NEG justify_NEG made_NEG submit_NEG assignment_NEG thankfully_NEG amazing_NEG classmates_NEG saw_NEG quality_NEG work_NEG :)_NEG,3
26,interesting course learned lot history aboriginal education,3
27,great content learned lot,3
28,phenomenal course education worldviews first nation people educator first nation community ontario north knowledge lecture phenomenal,3
29,found course interesting great learning tool glad would recommend course people ni awen,3
